id,user_id,initial_value,current_value,target_value,updated_at
1,6,92,90,75,1/15/2026
2,6,92,88,75,2/15/2026
3,6,92,86.5,75,3/15/2026
4,6,92,85.5,75,7/10/2026
5,7,50,52,80,1/20/2026
6,7,50,57,80,2/20/2026
7,7,50,61,80,3/20/2026
8,7,50,65,80,7/10/2026
9,8,0,0,0,1/10/2026
10,8,0,0,0,7/10/2026
11,9,78,75,60,1/5/2026
12,9,78,73,60,2/5/2026
13,9,78,70,60,7/10/2026
14,10,60,65,90,1/25/2026
15,10,60,70,90,2/25/2026
16,10,60,75,90,7/10/2026
17,11,65,62,50,1/1/2026
18,11,65,60,50,2/1/2026
19,11,65,58,50,7/10/2026
20,12,80,84,95,1/8/2026
21,12,80,86,95,2/8/2026
22,12,80,88,95,7/10/2026
23,13,0,0,0,1/12/2026
24,13,0,0,0,7/10/2026
25,14,85,82,70,1/3/2026
26,14,85,78,70,2/3/2026
27,14,85,75,70,7/10/2026
28,15,65,68,85,1/18/2026
29,15,65,70,85,2/18/2026
30,15,65,72,85,7/10/2026
31,16,90,88,75,1/22/2026
32,16,90,86,75,2/22/2026
33,16,90,85,75,7/10/2026
34,17,55,59,75,1/28/2026
35,17,55,61,75,2/28/2026
36,17,55,63,75,7/10/2026
37,19,75,70,60,6/1/2026
38,19,75,68,60,6/20/2026
39,19,75,65,60,7/13/2026
40,20,100,105,110,6/5/2026
41,20,100,100,110,6/25/2026
42,20,100,95,110,7/13/2026
43,21,80,76,65,6/10/2026
44,21,80,74,65,6/30/2026
45,21,80,72,65,7/13/2026
46,22,60,68,85,6/15/2026
47,22,60,72,85,7/5/2026
48,22,60,75,85,7/13/2026
49,23,95,90,75,6/20/2026
50,23,95,87,75,7/10/2026
51,23,95,85,75,7/13/2026
52,24,50,58,80,6/25/2026
53,24,50,62,80,7/12/2026
54,24,50,65,80,7/13/2026
