id,plan_id,day_name,day_indx
1,1,Leg Day,1
2,1,Upper Body Day,2
3,2,Heavy Day,1
4,2,Light Day,2
5,3,Day 1,1
6,3,Day 2,2
7,4,Legs & Glutes,1
8,4,Chest & Back,2
9,5,Upper Body,1
10,5,Lower Body,2
11,6,Full Body 1,1
12,6,Full Body 2,2
13,7,Strength,1
14,7,Conditioning,2
15,8,Upper Body,1
16,8,Lower Body,2
17,9,Heavy,1
18,9,Light,2
19,10,Legs,1
20,10,Upper Body,2
21,11,Day 1,1
22,11,Day 2,2
23,12,Legs & Glutes,1
24,12,Chest & Back,2
25,13,Upper Body,1
26,13,Lower Body,2
27,14,Heavy,1
28,14,Light,2
29,15,Legs,1
30,15,Upper Body,2
31,16,Full Body,1
32,16,Cardio,2
33,17,Strength,1
34,17,Light,2
35,18,Upper Body,1
36,18,Lower Body,2
37,19,Heavy,1
38,19,Light,2
39,30,Leg Day,1
40,30,Upper Body Day,2
41,31,Heavy Day,1
42,31,Light Day,2
43,32,Full Body 1,1
44,32,Full Body 2,2
45,33,Strength,1
46,33,Light,2
47,34,Legs,1
48,34,Upper Body,2
49,35,Upper Body,1
50,35,Lower Body,2
