id,day_id,exercise_id,sets_planned,reps_planned,rest_seconds
1,1,1,4,10,60
2,1,6,3,12,45
3,1,10,3,30,30
4,2,2,4,10,60
5,2,4,3,8,90
6,2,8,3,12,30
7,3,1,5,5,120
8,3,3,4,5,120
9,3,10,3,45,45
10,4,2,3,15,45
11,4,5,3,12,45
12,5,2,4,10,60
13,5,7,3,10,45
14,6,1,4,8,90
15,6,6,3,12,60
16,7,1,4,10,60
17,7,6,3,12,45
18,7,10,3,30,30
19,8,2,4,10,60
20,8,4,3,8,90
21,8,9,3,15,30
22,9,2,4,10,60
23,9,5,3,12,45
24,9,8,3,12,30
25,10,1,4,10,90
26,10,6,3,12,60
27,10,10,3,60,30
28,11,2,4,10,60
29,11,4,3,8,90
30,11,8,3,12,30
31,12,1,4,10,60
32,12,6,3,12,45
33,12,10,3,30,30
34,13,2,4,10,60
35,13,5,3,12,45
36,13,9,3,15,30
37,14,1,4,8,90
38,14,6,3,12,60
39,14,10,3,45,30
40,15,2,4,10,60
41,15,4,3,8,90
42,15,8,3,12,30
43,16,1,4,10,60
44,16,6,3,12,45
45,16,10,3,30,30
46,17,2,4,10,60
47,17,5,3,12,45
48,17,9,3,15,30
49,18,1,4,8,90
50,18,6,3,12,60
51,18,10,3,45,30
52,19,2,4,10,60
53,19,4,3,8,90
54,19,8,3,12,30
55,20,1,4,10,60
56,20,6,3,12,45
57,20,10,3,30,30
58,21,2,4,10,60
59,21,5,3,12,45
60,21,9,3,15,30
61,22,1,4,10,60
62,22,6,3,12,45
63,22,10,3,30,30
64,23,2,4,10,60
65,23,4,3,8,90
66,23,8,3,12,30
67,24,1,4,10,60
68,24,6,3,12,45
69,24,10,3,30,30
70,25,2,4,10,60
71,25,5,3,12,45
72,25,9,3,15,30
73,26,1,4,8,90
74,26,6,3,12,60
75,26,10,3,45,30
76,27,2,4,10,60
77,27,4,3,8,90
78,27,8,3,12,30
79,28,1,4,10,60
80,28,6,3,12,45
81,28,10,3,30,30
82,29,2,4,10,60
83,29,5,3,12,45
84,29,9,3,15,30
85,30,1,4,8,90
86,30,6,3,12,60
87,30,10,3,45,30
88,31,2,4,10,60
89,31,4,3,8,90
90,31,8,3,12,30
91,32,1,4,10,60
92,32,6,3,12,45
93,32,10,3,30,30
94,33,2,4,10,60
95,33,5,3,12,45
96,33,9,3,15,30
97,34,1,4,8,90
98,34,6,3,12,60
99,34,10,3,45,30
100,35,2,4,10,60
101,35,4,3,8,90
102,35,8,3,12,30
103,36,1,4,10,60
104,36,6,3,12,45
105,36,10,3,30,30
106,37,2,4,10,60
107,37,5,3,12,45
108,37,9,3,15,30
109,38,1,4,8,90
110,38,6,3,12,60
111,38,10,3,45,30
112,22,1,4,10,60
113,22,6,3,12,45
114,22,10,3,30,30
115,23,2,4,10,60
116,23,4,3,8,90
117,23,8,3,12,30
118,24,1,4,10,60
119,24,6,3,12,45
120,24,10,3,30,30
121,25,2,4,10,60
122,25,5,3,12,45
123,25,9,3,15,30
124,26,1,4,8,90
125,26,6,3,12,60
126,26,10,3,45,30
127,27,2,4,10,60
128,27,4,3,8,90
129,27,8,3,12,30
130,28,1,4,10,60
131,28,6,3,12,45
132,28,10,3,30,30
133,29,2,4,10,60
134,29,5,3,12,45
135,29,9,3,15,30
136,30,1,4,8,90
137,30,6,3,12,60
138,30,10,3,45,30
139,31,2,4,10,60
140,31,4,3,8,90
141,31,8,3,12,30
142,32,1,4,10,60
143,32,6,3,12,45
144,32,10,3,30,30
145,33,2,4,10,60
146,33,5,3,12,45
147,33,9,3,15,30
148,34,1,4,8,90
149,34,6,3,12,60
150,34,10,3,45,30
151,35,2,4,10,60
152,35,4,3,8,90
153,35,8,3,12,30
154,36,1,4,10,60
155,36,6,3,12,45
156,36,10,3,30,30
157,37,2,4,10,60
158,37,5,3,12,45
159,37,9,3,15,30
160,38,1,4,8,90
161,38,6,3,12,60
162,38,10,3,45,30
163,39,1,4,10,60
164,39,6,3,12,45
165,39,10,3,30,30
166,40,2,4,10,60
167,40,4,3,8,90
168,40,8,3,12,30
169,41,1,5,5,120
170,41,3,4,5,120
171,41,10,3,45,45
172,42,2,3,15,45
173,42,5,3,12,45
174,43,2,4,10,60
175,43,7,3,10,45
176,44,1,4,8,90
177,44,6,3,12,60
178,45,1,4,10,60
179,45,6,3,12,45
180,45,10,3,30,30
181,46,2,4,10,60
182,46,4,3,8,90
183,46,9,3,15,30
184,47,2,4,10,60
185,47,5,3,12,45
186,47,8,3,12,30
187,48,1,4,10,90
188,48,6,3,12,60
189,48,10,3,60,30
190,49,2,4,10,60
191,49,4,3,8,90
192,49,8,3,12,30
193,50,1,4,8,90
194,50,6,3,12,60
195,50,10,3,45,30
