id,athlete_id,plan_exercises_id,performed_date,set_number,reps_done,is_completed
1,6,1,5/15/2026,1,10,1
2,6,1,5/15/2026,2,10,1
3,6,1,5/15/2026,3,10,1
4,6,1,5/15/2026,4,10,1
5,6,2,5/15/2026,1,12,1
6,6,2,5/15/2026,2,12,1
7,6,2,5/15/2026,3,12,1
8,6,4,5/20/2026,1,10,1
9,6,4,5/20/2026,2,10,1
10,6,4,5/20/2026,3,10,0
11,6,1,5/25/2026,1,10,0
12,6,1,5/25/2026,2,10,0
13,6,1,5/25/2026,3,10,1
14,6,1,5/25/2026,4,10,1
15,7,7,6/2/2026,1,8,1
16,7,7,6/2/2026,2,8,1
17,7,7,6/2/2026,3,7,1
18,7,8,6/2/2026,1,10,1
19,7,8,6/2/2026,2,9,1
20,7,7,6/5/2026,1,8,1
21,7,7,6/5/2026,2,8,0
22,7,7,6/5/2026,3,0,0
23,9,13,6/10/2026,1,10,1
24,9,13,6/10/2026,2,10,1
25,9,13,6/10/2026,3,9,1
26,9,14,6/10/2026,1,12,1
27,9,14,6/10/2026,2,11,1
28,9,14,6/10/2026,3,0,0
29,10,17,6/15/2026,1,10,1
30,10,17,6/15/2026,2,10,1
31,10,17,6/15/2026,3,10,1
32,10,18,6/15/2026,1,8,1
33,10,18,6/15/2026,2,8,1
34,10,17,6/20/2026,1,10,1
35,10,17,6/20/2026,2,10,1
36,10,17,6/20/2026,3,9,1
37,10,18,6/20/2026,1,6,1
38,10,18,6/20/2026,2,5,1
39,12,20,6/25/2026,1,4,1
40,12,20,6/25/2026,2,3,1
41,12,20,6/25/2026,3,0,0
42,12,21,6/28/2026,1,3,1
43,12,21,6/28/2026,2,0,0
44,12,22,6/30/2026,1,2,1
45,14,31,7/2/2026,1,6,1
46,14,31,7/2/2026,2,5,1
47,14,31,7/2/2026,3,4,1
48,14,32,7/2/2026,1,8,1
49,14,32,7/2/2026,2,7,1
50,14,32,7/2/2026,3,6,1
51,15,29,7/8/2026,1,10,1
52,15,29,7/8/2026,2,9,1
53,15,29,7/8/2026,3,8,1
54,15,30,7/8/2026,1,10,1
55,15,30,7/8/2026,2,9,1
56,15,30,7/8/2026,3,0,0
57,17,35,7/1/2026,1,10,1
58,17,35,7/1/2026,2,10,1
59,17,35,7/1/2026,3,10,1
60,17,35,7/1/2026,4,10,1
61,17,36,7/1/2026,1,12,1
62,17,36,7/1/2026,2,12,1
63,17,36,7/1/2026,3,12,1
64,17,35,7/3/2026,1,10,1
65,17,35,7/3/2026,2,10,1
66,17,35,7/3/2026,3,10,1
67,17,35,7/3/2026,4,10,1
68,17,36,7/3/2026,1,12,1
69,17,36,7/3/2026,2,12,1
70,17,36,7/3/2026,3,12,1
71,8,12,5/10/2026,1,10,1
72,8,12,5/10/2026,2,10,1
73,8,12,5/10/2026,3,10,1
74,8,13,5/10/2026,1,8,1
75,8,13,5/10/2026,2,8,1
76,8,13,5/10/2026,3,7,0
77,8,12,5/12/2026,1,10,1
78,8,12,5/12/2026,2,10,1
79,8,12,5/12/2026,3,9,1
80,8,13,5/12/2026,1,8,1
81,8,13,5/12/2026,2,7,0
82,11,20,7/1/2026,1,4,1
83,11,20,7/1/2026,2,3,1
84,11,20,7/1/2026,3,0,0
85,11,21,7/3/2026,1,3,1
86,11,21,7/3/2026,2,0,0
87,11,22,7/5/2026,1,2,1
88,11,22,7/5/2026,2,0,0
89,12,24,7/2/2026,1,6,1
90,12,24,7/2/2026,2,5,1
91,12,24,7/2/2026,3,4,1
92,12,25,7/2/2026,1,8,1
93,12,25,7/2/2026,2,7,1
94,12,25,7/2/2026,3,6,1
95,13,27,7/5/2026,1,10,1
96,13,27,7/5/2026,2,9,1
97,13,27,7/5/2026,3,8,1
98,13,28,7/5/2026,1,10,1
99,13,28,7/5/2026,2,9,1
100,13,28,7/5/2026,3,0,0
101,15,30,7/8/2026,1,10,1
102,15,30,7/8/2026,2,9,1
103,15,30,7/8/2026,3,8,1
104,15,31,7/8/2026,1,10,1
105,15,31,7/8/2026,2,9,1
106,15,31,7/8/2026,3,0,0
107,16,33,7/9/2026,1,10,1
108,16,33,7/9/2026,2,10,1
109,16,33,7/9/2026,3,10,1
110,16,33,7/9/2026,4,10,1
111,16,34,7/9/2026,1,12,1
112,16,34,7/9/2026,2,12,1
113,16,34,7/9/2026,3,12,1
114,16,33,7/7/2026,1,10,1
115,16,33,7/7/2026,2,10,1
116,16,33,7/7/2026,3,10,1
117,16,33,7/7/2026,4,10,1
118,16,34,7/7/2026,1,12,1
119,16,34,7/7/2026,2,12,1
120,16,34,7/7/2026,3,12,1
121,19,1,7/12/2026,1,10,1
122,19,1,7/12/2026,2,10,1
123,19,1,7/12/2026,3,10,1
124,19,1,7/12/2026,4,10,1
125,19,2,7/12/2026,1,12,1
126,19,2,7/12/2026,2,12,1
127,19,2,7/12/2026,3,12,1
128,19,4,7/11/2026,1,10,1
129,19,4,7/11/2026,2,10,1
130,19,4,7/11/2026,3,10,1
131,19,1,7/10/2026,1,10,1
132,19,1,7/10/2026,2,10,1
133,19,1,7/10/2026,3,10,1
134,19,1,7/10/2026,4,10,1
135,20,1,6/20/2026,1,10,1
